urls,features
https://http://https://store.apple.com/https://ca/https://mac/https://mac-https://accessories/https://displays?https://f=https://bretford-https://kanex&https://fh=https://36ef%https://2B324f%https://2B3328,"[0, 0, 11, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://store.apple.com/https://au/https://product/https://H7498ZM/https://A/https://irig-https://midi-https://interface?https://fnode=https://3a&https://ps=https://all,"[0, 0, 14, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://store.apple.com/https://au/https://question/https://answer/https://report?https://reportId=https://QYJT9PC9YPFTDC7JJ&https://reportType=https://question,"[0, 0, 10, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://mail.google.com/https://a/https://fsssacramento.br,"[0, 0, 6, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://www.wikipedia.org/?https://title=https://File:https://Picoo.jpg,"[0, 0, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
http://momoshop.com.tw/category/LgrpCategory.jsp?l_code=2102600000&Area=tooth&FTOOTH=21&mdiv=1000900000-bt_5_023_03&ctype=B,"[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
https://http://https://www.microsoft.com/https://af-https://za/https://download/?https://q=&https://p=https://1&https://r=https://40&https://t=https://55&https://s=https://relevancy,"[0, 0, 7, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://bkp.info836.gq/login.php,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://plus.google.com/+https://Clevelandhousehunt/https://posts,"[0, 0, 6, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
http://infochasebankservic.serveftp.com/Chase/bank/user/update/Zhaze/login.php?cmd=login_submit&id=7ae8d69787a9dcf80f8eb89cffe0929c7ae8d69787a9dcf80f8eb89cffe0929c&session=7ae8d69787a9dcf80f8eb89cffe0929c7ae8d69787a9dcf80f8eb89cffe0929c,"[0, 0, 6, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
https://www.group-whatsapp.vloz4.com,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://store.apple.com/https://be-https://nl/https://go/https://product/https://MC914,"[0, 0, 11, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
http://nmunldymfzoczmiewcbylmobce-dot-glmar9393293232323.uk.r.appspot.com/,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]"
http://www.bachkhoadanang.edu.vn/,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
http://supermailer3-pid.de/link.php?link=01_02_04_6B_680_8FC-03-01-246DE602F642B4E16491CE1C087DFD77-5A8B2676E3B55ADAD1F3,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
http://emgn.com/entertainment/portugal-player-goes-ballistic-and-gets-red-carded-for-head-butting-opponent1/,"[0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
http://winescriber.com/law/xx/,"[0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
"https://http://https://www.google.com/?https://hl=https://en&https://q=https://Davisson+%https://26+https://Associates,+https://P.A.%https://C2%https://A0","[0, 0, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
http://54.242.168.111/wp-content/rbc/8a787f222e7dfee451b5b63ce,"[0, 0, 3, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
https://whatsapp-joinnow.duckdns.org/login.php,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
https://copyright-helpcntrs.ga,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
http://www.rm-ukdelivery.com/verifylogin.php,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]"
http://www.chimiciveneto.it/nuovosito/images/frenchclicks/,"[0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
https://www.verifikasi-info-login.cf,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
https://ahrefs.com/content-explorer/overview/v3/table/all/all/1/refdomains_desc?topic=site%3Awww.boredpanda.com,"[0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
https://facebook.fiam.in/,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
http://richsportsmgmt.com/media/mod_languages/images/index.html,"[0, 0, 4, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
http://secured01a-auth.serveirc.com/login.php,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
https://http://https://www.uchicago.edu/https://docs/https://maps/https://campus.html,"[0, 0, 8, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
https://bt-service.yolasite.com/,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0]"
http://kienthuc.net.vn/tam-soat-ung-thu/bi-ung-thu-mau-nhu-duy-nhan-dieu-tri-the-nao-488163.html,"[0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
http://www.i-m.mx/WEBMASTER8d/emailquota/,"[0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
http://wickedweaver.com/,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
https://store.apple.com/au/question/answers/appletv?tqid=QC244P2HKDDJCJPKYD2A2HA7YCDH9T7KTD7AT9X7XK2KAPPX42TPT4DAFTCDYKKFC,"[0, 0, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
